COUNTRY,YEAR_MONTH,TITLE,CHANNELTITLE,VIEW_COUNT,LIKES_RATIO
GB,2021-12-01,I Made Pokemon Red & Blue but its 3D,CodyCantEatThis,999927,6.7
IN,2021-12-01,Swaragini | स्वरागिनी | Ep. 440 | Swara-Ragini's Return | माहेश्वरी परिवार के पास लौटे स्वरा-रागिनी,Colors Rishtey,999551,0
JP,2021-12-01,嵐 - Do you... ? (This is 嵐 LIVE 2020.12.31) [Official Live Video],J Storm Official,999793,0
KR,2021-12-01,"당면이 있다면 이렇게 만들어보세요! 새로운 요리, 놀라운 맛입니다👍 '이것'과 당면의 환상의 조화에 두 접시 뚝딱 가능합니다🤗",엄마의 요리백과,999732,1.32
MX,2021-12-01,Se hizo pasar por mendiga para pedir comida y al final paso esto,Luz María,999705,1.95
RU,2021-12-01,Этот Смартфон Уничтожает XIAOMI! Мистический Чемодан С Realme GT Master Edition!,РасПаковка ДваПаковка,99963,10.43
US,2021-12-01,I Made Pokemon Red & Blue but its 3D,CodyCantEatThis,999927,6.7
BR,2022-01-01,Anitta Watches Fan Covers on YouTube | Glamour,Glamour,99997,12.86
CA,2022-01-01,Making a $7000 jacket for $7 #shorts,Gunnar Deatherage,9996452,8.98
DE,2022-01-01,Making a $7000 jacket for $7 #shorts,Gunnar Deatherage,9996452,8.98
FR,2022-01-01,"VIRÉE CINÉ - L'Islande (Prometheus, GoT, Lamb, Interstellar…)",Le Fossoyeur de Films,99991,8.04
GB,2022-01-01,Making a $7000 jacket for $7 #shorts,Gunnar Deatherage,9996452,8.98
IN,2022-01-01,Tonga రాజధానిపై రాకాసి అలల పంజా - TV9,TV9 USA,99867,1
JP,2022-01-01,#にじなわとび 第一回にじさんじなわとび大会,緑仙 / Ryushen,999847,6.06
KR,2022-01-01,장성우 선수와 씨름단의 회식장소에서  소고기 먹방대결,윤코치의 맛만 볼까? (Mammoth coach Tasty road),999587,1.16
MX,2022-01-01,DESTROZANDO MI ÁRBOL DE NAVIDAD - DjMaRiiO,DjMaRiiO,999973,11.51
RU,2022-01-01,Срочные новости Казахстана! 08.01.2022 (10:00),Atameken Business News / Атамекен Бизнес Новости,99994,0.71
US,2022-01-01,"Detective Who, What, When, Where, Why, and How",Rich Black Guy,999353,13.65
